,go_trial_count,catch_trial_count,hit_trial_count,miss_trial_count,false_alarm_trial_count,correct_reject_trial_count,TPR,FPR,bayes_TPR,bayes_FPR
,sum,sum,sum,sum,sum,sum,,,,
mouse_id,,,,,,,,,,
489066,306,41,157,149,11,30,0.5130718954248366,0.2682926829268293,0.5149897173740215,0.14890240444269023
491060,633,92,118,515,2,90,0.18641390205371247,0.021739130434782608,0.2639100287104078,0.06745692619547934
492395,1378,196,154,1224,16,180,0.11175616835994194,0.08163265306122448,0.16167643541839508,0.09015267668705837
495789,452,68,145,307,9,59,0.32079646017699115,0.1323529411764706,0.3798219421698813,0.11540828540476633
498972,1453,208,204,1249,16,192,0.14039917412250516,0.07692307692307693,0.18468577193417782,0.08676924392982525
499478,1375,196,661,714,13,183,0.4807272727272727,0.0663265306122449,0.4853195336619007,0.08040431250870542
512458,751,106,337,414,18,88,0.44873501997336884,0.16981132075471697,0.4629045603673188,0.13660054065816457
513626,580,85,302,278,22,63,0.5206896551724138,0.25882352941176473,0.5200254490583187,0.1715119659182806
513630,186,23,130,56,4,19,0.6989247311827957,0.17391304347826086,0.6067975730498277,0.1168433988750451
523922,747,111,231,516,10,101,0.3092369477911647,0.09009009009009009,0.3521130168573326,0.09761854767332882
523927,559,79,107,452,7,72,0.19141323792486584,0.08860759493670886,0.275251649426902,0.09826755138794152
524158,596,86,131,465,4,82,0.2197986577181208,0.046511627906976744,0.29276116086112774,0.07961781243134758
524274,438,62,126,312,10,52,0.2876712328767123,0.16129032258064516,0.35813946160254256,0.12514934292440816
528097,1115,156,601,514,47,109,0.5390134529147982,0.30128205128205127,0.5359167056042218,0.2194034342508157
533161,1319,188,526,793,19,169,0.39878695981804396,0.10106382978723404,0.41401046049267715,0.10256734440149758
533527,819,116,176,643,10,106,0.2148962148962149,0.08620689655172414,0.27271673859594847,0.0954753831239547
538219,631,92,324,307,24,68,0.5134706814580031,0.2608695652173913,0.5145386973301971,0.1754355978991607
539517,830,117,495,335,31,86,0.5963855421686747,0.26495726495726496,0.5816004546874572,0.18686370416269815
539518,975,136,125,850,4,132,0.1282051282051282,0.029411764705882353,0.192630539419029,0.06354924331563874
541329,934,139,235,699,5,134,0.25160599571734477,0.03597122302158273,0.29723902473736924,0.06677704722714453
544261,1386,196,497,889,30,166,0.35858585858585856,0.15306122448979592,0.37807803728251693,0.13564504285270546
544965,842,122,93,749,7,115,0.11045130641330166,0.05737704918032787,0.18646638743875557,0.08019005722416882
546605,556,78,90,466,5,73,0.1618705035971223,0.0641025641025641,0.2536583237057196,0.08824492589889667
546819,475,68,123,352,9,59,0.25894736842105265,0.1323529411764706,0.3338128012039633,0.11540828540476633
547486,1977,283,46,1931,5,278,0.02326757713707638,0.0176678445229682,0.06727989401759883,0.04241721841581206
548950,832,118,447,385,33,85,0.5372596153846154,0.2796610169491525,0.5336381853639439,0.1947556916357341
554115,408,58,177,231,9,49,0.4338235294117647,0.15517241379310345,0.46086852674813406,0.1222072489177286
555970,587,83,82,505,10,73,0.13969335604770017,0.12048192771084337,0.23332164028178137,0.11165400025792145
561443,780,109,216,564,22,87,0.27692307692307694,0.2018348623853211,0.3247557094012473,0.1528646264553204
563234,983,141,156,827,5,136,0.15869786368260427,0.03546099290780142,0.2176798391669176,0.06624863062298096
