,go_trial_count,catch_trial_count,hit_trial_count,miss_trial_count,false_alarm_trial_count,correct_reject_trial_count,TPR,FPR,bayes_TPR,bayes_FPR
,sum,sum,sum,sum,sum,sum,,,,
mouse_id,,,,,,,,,,
489065,462,66,300,162,8,58,0.6493506493506493,0.12121212121212122,0.5998861654488846,0.11161611690760859
489066,433,60,200,233,15,45,0.4618937644341801,0.25,0.46789271765520474,0.15624602765601106
491060,1570,225,292,1278,6,219,0.1859872611464968,0.02666666666666667,0.2182951381069251,0.0529938771628918
492395,1367,194,137,1230,17,177,0.10021945866861741,0.08762886597938144,0.1473340415436197,0.09433037246135872
495789,577,79,71,506,5,74,0.12305025996533796,0.06329113924050633,0.2127964984483966,0.08829421384182828
498972,992,144,269,723,21,123,0.2711693548387097,0.14583333333333334,0.30537599670165616,0.12839909670120958
499478,1032,148,508,524,16,132,0.49224806201550386,0.10810810810810811,0.4905347433610593,0.10718080052758415
512458,679,98,377,302,10,88,0.5552282768777614,0.10204081632653061,0.5388922845133027,0.10412644366035531
513626,462,64,335,127,25,39,0.7251082251082251,0.390625,0.6533364868583847,0.2095582841031921
513630,554,80,109,445,7,73,0.1967509025270758,0.0875,0.2702329412936827,0.09825874548274256
523922,1311,188,501,810,19,169,0.38215102974828374,0.10106382978723404,0.39487183093992667,0.10288789559334
523927,585,83,79,506,6,77,0.13504273504273503,0.07228915662650602,0.2208930753352506,0.09161379137855984
524158,651,94,118,533,2,92,0.18125960061443933,0.02127659574468085,0.24983436712177495,0.06728672634429633
524274,508,73,246,262,29,44,0.484251968503937,0.3972602739726027,0.4834575488940324,0.22099438644397068
528097,480,71,142,338,6,65,0.29583333333333334,0.08450704225352113,0.349002505106792,0.09762614700862667
533161,551,77,252,299,9,68,0.4573502722323049,0.11688311688311688,0.4635753181454974,0.11040999549770529
533527,786,114,143,643,16,98,0.18193384223918574,0.14035087719298245,0.24091781842963853,0.1233159804808235
538219,491,70,156,335,17,53,0.31771894093686354,0.24285714285714285,0.36386177628300426,0.15865206127969994
539517,779,109,567,212,36,73,0.7278562259306803,0.3302752293577982,0.6789507943880698,0.2166665920177515
539518,618,88,195,423,5,83,0.3155339805825243,0.056818181818181816,0.3549689245195566,0.08431801279974784
541329,1009,145,81,928,2,143,0.0802775024777007,0.013793103448275862,0.14462612328173902,0.053926363830790074
544261,765,112,231,534,15,97,0.30196078431372547,0.13392857142857142,0.33807583480213677,0.1199504922987241
544965,867,120,147,720,7,113,0.1695501730103806,0.058333333333333334,0.2262790719782311,0.08130669828845617
546605,639,93,58,581,0,93,0.09076682316118936,0.0,0.18130701407086705,0.057852001251396945
546819,659,96,188,471,16,80,0.2852807283763278,0.16666666666666666,0.32966558976819316,0.1339952035384981
547486,1011,148,38,973,1,147,0.03758654797230465,0.006756756756756757,0.1086660290560894,0.049455421251350384
548950,514,74,289,225,9,65,0.5622568093385214,0.12162162162162163,0.5401899772588381,0.11219222917007184
554115,776,111,229,547,11,100,0.29510309278350516,0.0990990990990991,0.33217290993212795,0.10253953716367693
555970,1208,176,212,996,11,165,0.17549668874172186,0.0625,0.21759757208447686,0.07938495745054064
561443,469,67,136,333,5,62,0.2899786780383795,0.07462686567164178,0.3457372771272304,0.09421830882954804
563234,669,97,75,594,4,93,0.11210762331838565,0.041237113402061855,0.19472150291295628,0.07589640239380241
